Hotel_Name,Rating,Score,Number_Reviews,Price,Room_Type,City,Country
"Club Quarters Hotel World Trade Center, New York",Very Good,8.3,"4,134",261,Small Queen Room,New York,USA
Courtyard by Marriott Times Square West,Very Good,8.3,"3,100",,King Room with Roll-in Shower - Mobility and Hearing Accessible,New York,USA
Crowne Plaza HY36 Midtown Manhattan by IHG,Very Good,8.4,581,,Standard King Room,New York,USA
Delta Hotels by Marriott New York Times Square,Good,7.8,"4,267",305,King Room,New York,USA
DoubleTree by Hilton Hotel New York City - Chelsea,Good,7.2,"3,668",316,King Room - Non-Smoking,New York,USA
DoubleTree by Hilton New York Downtown,Good,7.5,"3,947",,King Room,New York,USA
DoubleTree by Hilton New York Times Square South,Very Good,8.2,"6,550",297,King Room,New York,USA
Doubletree By Hilton New York Times Square West,Review score,6.8,"11,146",,Standard King Room,New York,USA
Element Times Square West,Very Good,8.1,"7,569",,King Room - Hearing Accessible,New York,USA
Embassy Suites By Hilton New York Manhattan Times Square,Good,7.7,"3,943",348,King Room,New York,USA
Eurostars Wall Street,Very Good,8,"1,356",240,Queen Room,New York,USA
Executive Hotel Le Soleil New York,Excellent,8.7,"4,563",314,Executive Queen Room,New York,USA
Fairfield By Marriott New York Manhattan Times Square,Very Good,8.3,"5,661",,King Room,New York,USA
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,Very Good,8,"4,806",,King Room,New York,USA
Fairfield Inn & Suites New York Manhattan/Downtown East,Very Good,8.2,"1,221",237,King Room,New York,USA
Fairfield Inn by Marriott New York Manhattan/Financial District,Good,7.8,"3,635",,Queen Room,New York,USA
Hampton Inn Manhattan-35th St Empire State Bldg,Very Good,8.3,"6,669",275,King Room - Non-Smoking,New York,USA
Hampton Inn Manhattan/Downtown- Financial District,Good,7.8,643,,1 Double Room - Disability Access/Non-Smoking,New York,USA
Hampton Inn Times Square Central,Very Good,8.3,"2,834",,King Room with Roll-In Shower - Mobility and Hearing Access/Non-Smoking,New York,USA
Heritage Hotel New York City,Good,7.4,"3,784",217,King Room - Non-Smoking,New York,USA
Hilton Garden Inn New York Central Park South-Midtown West,Good,7.6,"8,797",347,King Room - Hearing Access,New York,USA
Hilton Garden Inn New York Times Square South,Very Good,8.2,"4,018",,King Room - Hearing Access,New York,USA
Hilton Garden Inn New York/Manhattan-Chelsea,Good,7.6,"4,037",,High Floor King Room,New York,USA
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,Very Good,8.3,"5,053",268,King Room,New York,USA
Hilton Garden Inn West 35th Street,Very Good,8.2,"3,068",314,King Room with City View,New York,USA
Hilton New York Fashion District,Good,7.5,838,306,Queen Room,New York,USA
Holiday Inn Express - Wall Street by IHG,Good,7.8,"1,883",,Standard Room,New York,USA
Holiday Inn Manhattan 6th Ave - Chelsea by IHG,Good,7.6,"2,943",,Standard King Room,New York,USA
Hotel 27 by LuxUrban,Good,7,882,198,Double Room - Non-Smoking,New York,USA
"Hotel 50 Bowery, part of JdV by Hyatt",Excellent,8.6,959,,Double Room with Two Double Beds,New York,USA
Hotel 57 by LuxUrban,Good,7,"5,079",254,Double Room - Non-Smoking,New York,USA
Hotel AKA NoMad,Very Good,8.3,674,365,NoMad King,New York,USA
Hotel Belleclaire Central Park,Very Good,8.1,"5,101",,Deluxe 1 King Bed,New York,USA
Hotel Edison Times Square,Good,7.7,"13,317",287,Signature 1 Queen Bed,New York,USA
Hotel Hayden New York,Good,7.1,"3,161",197,Superior King Room,New York,USA
Hotel Hugo,Good,7.8,"1,371",276,Superior King Room,New York,USA
Hotel Indigo NYC Downtown - Wall Street by IHG,Very Good,8.3,"1,051",,Standard Queen Room,New York,USA
Hotel St. James,Very Good,8.1,"3,232",245,One Queen Bed Room,New York,USA
Hyatt Centric Midtown 5th Avenue New York,Very Good,8,"1,153",510,Standard Queen Room with Two Queen Beds,New York,USA
Hyatt Place New York Chelsea,Good,7.9,"18,150",425,Double Room with Skyline View,New York,USA
Hyatt Place New York City - Times Square,Good,7.8,"21,862",,Double Room with Two Double Beds and City View,New York,USA
Ink 48 Hotel,Good,7.5,"2,564",292,Deluxe Queen Room with Two Queen Beds,New York,USA
INNSiDE by Meliá New York Nomad,Very Good,8.5,"1,020",364,The INNSiDE Room - Queen,New York,USA
InterContinental New York Times Square by IHG,Good,7.9,"1,789",,Standard Room,New York,USA
Iroquois New York Times Square,Very Good,8.5,"2,631",428,Deluxe 1 Queen Bed,New York,USA
JG Sohotel,Good,7.1,267,208,Queen Room,New York,USA
Kimpton Theta New York - Times Square by IHG,Very Good,8.2,"1,535",326,Essential King Room with Tub - Mobility Accessible,New York,USA
La Quinta by Wyndham Time Square South,Very Good,8.5,"4,340",,King Room - Non-Smoking,New York,USA
Leon Hotel LES,Very Good,8,"2,570",207,Deluxe King Room,New York,USA
Lex Hotel NYC,Very Good,8.2,"1,529",229,Cozy Queen Room,New York,USA
Life Hotel New York,Very Good,8,820,237,Classic Queen Room,New York,USA
Margaritaville Resort Times Square,Very Good,8.5,"3,961",273,Standard Room one queen Bed,New York,USA
Millennium Premier New York Times Square,Good,7.4,"1,138",266,Premier Queen Room,New York,USA
Moderne Hotel,Very Good,8.1,"1,021",289,Deluxe Room,New York,USA
MOXY NYC Times Square,Very Good,8.1,"5,887",396,Double Room,New York,USA
Nolitan Hotel SoHo - New York,Good,7.8,"1,513",218,Deluxe Queen Room,New York,USA
Park Central,Good,7.3,"7,499",283,Deluxe Two Queen Room,New York,USA
Pestana CR7 Times Square,Excellent,8.6,"2,591",,Comfort Room,New York,USA
Pod Times Square,Very Good,8.3,"23,133",149,Bunk Pod,New York,USA
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,Very Good,8.5,"1,791",,King Studio,New York,USA
Riu Plaza Manhattan Times Square,Excellent,8.6,"13,312",296,Deluxe King,New York,USA
Riu Plaza New York Times Square,Excellent,8.6,"7,232",262,Deluxe King Room,New York,USA
Sheraton New York Times Square Hotel,Review score,6.5,"1,804",352,"Traditional, Guest room, 1 Queen",New York,USA
Shoreham Hotel,Good,7.3,"3,305",236,Deluxe Queen Room,New York,USA
SoHo 54,Good,7.6,"3,999",215,SoHo King,New York,USA
Soho Grand Hotel,Very Good,8.3,"1,643",374,Soho King Room,New York,USA
Sohotel,Good,7.9,"2,024",192,Standard Queen Room,New York,USA
The Blakely by LuxUrban,Good,7.4,"6,042",386,"King Room with Mobility Access and Bathtub with Grab Bars, Non-Smoking",New York,USA
The Chelsean New York,Good,7,"2,799",151,"Guest Room, 1 King",New York,USA
"The Cloud One New York-Downtown, by the Motel One Group",Excellent,8.6,"6,436",,Superior King Room with City and River View,New York,USA
The FIDI Hotel,Very Good,8.1,"1,472",,Standard Queen,New York,USA
The Flat NYC,Good,7.9,"2,476",179,Queen Room with Shared Bathroom,New York,USA
The Frederick Hotel Tribeca,Very Good,8.3,"2,238",296,Standard 1 Full Bed,New York,USA
The Gregorian New York City,Very Good,8.3,"1,111",267,Double Room,New York,USA
The Herald by LuxUrban,Good,7.7,"9,056",248,Deluxe King Room - Non-Smoking,New York,USA
The Hotel at Fifth Avenue,Good,7.9,"3,652",233,Queen Room - Non-Smoking,New York,USA
The James New York - NoMad,Very Good,8.1,"1,542",,Queen Room,New York,USA
The Manhattan at Times Square,Review score,5.5,"7,662",239,Standard Room,New York,USA
"The Mayfair Hotel Times Square, Ascend Hotel Collection",Excellent,8.6,"1,976",,Double Room with Step-In Shower - Disability Access/Non Smoking,New York,USA
The Muse New York,Very Good,8.5,"2,613",408,Executive Corner King,New York,USA
"The New Yorker, A Wyndham Hotel",Good,7.7,"15,621",,Standard Queen Room,New York,USA
The Prince Kitano New York,Excellent,8.7,"1,113",494,Deluxe King Room,New York,USA
The Renwick,Very Good,8.4,"2,768",332,Gallery King,New York,USA
The Shelburne Sonesta New York,Very Good,8.3,"2,267",327,Deluxe Studio,New York,USA
The Washington by LuxUrban,Good,7.7,"9,507",212,King Room - Non-Smoking,New York,USA
TRYP by Wyndham New York City Times Square - Midtown,Good,7.4,"2,720",,Queen Room,New York,USA
voco The Franklin New York by IHG,Very Good,8.4,502,,Double Room with Mobility Accessible Tub/ Nonsmoking,New York,USA
voco Times Square South New York by IHG,Very Good,8.1,"3,829",305,Standard Double Room,New York,USA
WestHouse Hotel New York,Very Good,8.1,"1,917",521,Queen Room - Disability Access,New York,USA
Wingate by Wyndham New York Midtown South/5th Ave,Very Good,8.4,"2,379",,Queen Room - Non-Smoking,New York,USA
YOTEL New York Times Square,Good,7.7,"6,418",186,Premium Queen,New York,USA
1881 Barcelona Gran Rosellon Hotel,Very Good,8,"2,540",134,Standard Twin Room,Barcelona,Spain
45 Times Barcelona Hotel,Excellent,8.6,"2,459",265,Double Room with City View,Barcelona,Spain
Acta Atrium Palace,Very Good,8.1,"2,976",175,Double or Twin Room,Barcelona,Spain
Acta CITY47,Very Good,8.3,"3,204",125,Superior Queen Room,Barcelona,Spain
Allegro Barcelona,Excellent,8.7,"2,650",123,Superior Double Room,Barcelona,Spain
Arya Stadium Hotel,Very Good,8.3,"3,167",94,Interior Double Room,Barcelona,Spain
Barceló Sants,Excellent,8.7,"8,911",,Deluxe Double or Twin Room,Barcelona,Spain
Barcelona House,Very Good,8,"7,215",95,Double or Twin Room,Barcelona,Spain
Barcelona Princess,Very Good,8.3,"11,844",,Double or Twin Room,Barcelona,Spain
BYPILLOW Mothern,Very Good,8.2,"5,339",123,Budget Double Room,Barcelona,Spain
Casa Pince,Wonderful,9,581,171,Budget Double Room,Barcelona,Spain
Catalonia Barcelona Plaza,Excellent,8.7,"3,464",,Double or Twin Room,Barcelona,Spain
Catalonia Catedral,Wonderful,9.1,"2,594",,Double or Twin Room,Barcelona,Spain
Catalonia Diagonal Centro,Excellent,8.7,"3,488",,Double Room,Barcelona,Spain
Catalonia Eixample 1864,Excellent,8.6,"4,333",,Premium Double Room,Barcelona,Spain
Catalonia Magdalenes,Wonderful,9.3,"2,114",,Double or Twin Room,Barcelona,Spain
Catalonia Passeig de Gràcia 4* Sup,Wonderful,9.1,"3,359",,Double or Twin Room,Barcelona,Spain
Catalonia Plaza Catalunya,Excellent,8.6,"5,522",,Double or Twin Room,Barcelona,Spain
Catalonia Port,Excellent,8.8,"1,494",,Double or Twin Room,Barcelona,Spain
Catalonia Portal de l'Angel,Excellent,8.8,"3,152",,Standard Double or Twin Room,Barcelona,Spain
Catalonia Ramblas 4* Sup,Very Good,8.5,"4,765",,Double or Twin Room,Barcelona,Spain
Center Gran Via,Excellent,8.8,"2,087",109,Standard Double Room,Barcelona,Spain
Chi,Excellent,8.9,"5,316",136,Double Room,Barcelona,Spain
Chic & Basic Tallers Hostal,Good,7.1,"1,276",127,Double Room with Balcony,Barcelona,Spain
Cram Hotel,Very Good,8.4,"3,628",141,Deluxe Double Room,Barcelona,Spain
Eurostars Barcelona Central,Excellent,8.8,"1,697",199,Superior Double Room,Barcelona,Spain
Exe Plaza Catalunya,Very Good,8.4,"3,870",,Basic Double Room,Barcelona,Spain
Exe Ramblas Boquería,Very Good,8.3,"1,296",157,Double or Twin Room with Las Ramblas View,Barcelona,Spain
Forget Me Not Barcelona,Wonderful,9.1,"1,769",,Small Double Room,Barcelona,Spain
Gaudi Hotel,Very Good,8.3,"7,303",126,Double or Twin Room,Barcelona,Spain
Grupotel Gran Via 678,Very Good,8.4,"5,068",157,Standard Double Room,Barcelona,Spain
H10 Raco del Pi,Excellent,8.7,940,179,Standard Double or Twin Room,Barcelona,Spain
Hotel 54 Barceloneta,Very Good,8.5,"2,318",160,Standard Double Room,Barcelona,Spain
Hotel America Barcelona,Excellent,8.7,"1,937",137,Double or Twin Room,Barcelona,Spain
Hotel Arconte,Wonderful,9.1,29,146,Deluxe Room,Barcelona,Spain
Hotel Barcelona Catedral,Very Good,8.5,"3,906",170,Double Room,Barcelona,Spain
Hotel Barcelona Center,Excellent,8.6,"8,144",169,Double or Twin Room,Barcelona,Spain
Hotel Boutique Mirlo Barcelona,Wonderful,9.4,"1,054",250,Deluxe with Hammam,Barcelona,Spain
Hotel Brick Barcelona,Excellent,8.8,"2,993",,Double or Twin Room,Barcelona,Spain
Hotel Casa Sagnier,Wonderful,9.2,"1,541",296,Small Double or Twin Room,Barcelona,Spain
Hotel Casa Teva Barcelona,Excellent,8.8,433,127,Standard Double Room,Barcelona,Spain
Hotel Condes de Barcelona,Excellent,8.9,820,230,Superior Double or Twin Room,Barcelona,Spain
Hotel Cortes Rambla,Very Good,8.1,"2,153",122,Standard Double Room,Barcelona,Spain
Hotel Indigo Barcelona - Plaza Catalunya 4Sup by IHG,Very Good,8.1,694,,Standard Double Room,Barcelona,Spain
Hotel Indigo Barcelona Plaza Espana by IHG,Excellent,8.8,"7,099",169,Premium Queen Room - Accessible,Barcelona,Spain
Hotel Jazz,Excellent,8.9,"3,264",,Double or Twin Room,Barcelona,Spain
Hotel Pulitzer Barcelona,Excellent,8.9,"1,511",,Double or Twin Room,Barcelona,Spain
Hotel Royal Passeig de Gracia,Very Good,8.5,"3,220",169,Comfort Room,Barcelona,Spain
Hotel SERHS Del Port,Very Good,8.4,"1,606",133,Comfort Double or Twin Room,Barcelona,Spain
Hotel SERHS Rivoli Rambla,Very Good,8.4,"2,297",148,Small Double Room,Barcelona,Spain
Hotel Soho,Excellent,8.6,"2,429",128,Economy Double Room,Barcelona,Spain
Hotel Turin Barcelona,Very Good,8.3,"5,758",146,Basic Double Room,Barcelona,Spain
ICON Bcn,Excellent,8.7,"2,233",205,Small Double Room,Barcelona,Spain
INNSiDE by Meliá Barcelona Apolo,Excellent,8.9,"2,135",177,Innside Room Extra Space,Barcelona,Spain
La Ciudadela,Excellent,8.6,"2,069",138,Double Room (interior),Barcelona,Spain
Lamaro Hotel,Wonderful,9,"3,549",255,Design Double Room,Barcelona,Spain
Magatzem 128,Excellent,8.8,"2,498",,Twin Room with Patio View,Barcelona,Spain
Mosaic by Ona,Excellent,8.6,"2,717",136,Standard Double Room,Barcelona,Spain
Negresco Princess 4* Sup,Very Good,8.3,"5,796",,Double Room,Barcelona,Spain
"Radisson Blu 1882 Hotel, Barcelona Sagrada Familia",Excellent,8.9,"3,733",174,Standard Room - Interior Facing,Barcelona,Spain
Room Mate Pau,Wonderful,9.2,"4,188",184,Executive Double Room,Barcelona,Spain
Sallés Hotel Pere IV,Very Good,8.1,"8,432",150,Deluxe Double Room with Spa Access,Barcelona,Spain
SERHS Carlit Boutique Hotel,Very Good,8.5,"1,318",146,Comfort Double or Twin Room,Barcelona,Spain
Seventy Barcelona,Wonderful,9.1,"2,940",,Basic Double Room with Spa Access,Barcelona,Spain
Silken Sant Gervasi,Very Good,8.5,"2,464",,Standard Twin Room,Barcelona,Spain
Sonder Casa Luz,Very Good,8.4,"2,866",151,Twin Room with Balcony,Barcelona,Spain
Sonder Paseo de Gracia,Very Good,8.1,"2,648",151,Queen Room,Barcelona,Spain
Sunotel Aston,Good,7.5,"1,057",110,Economy Double Room,Barcelona,Spain
Sunotel Central,Very Good,8.1,"1,437",148,Economy Double Room,Barcelona,Spain
The Corner Hotel,Excellent,8.8,"1,578",200,Superior Double or Twin Room,Barcelona,Spain
Upper Diagonal,Excellent,8.8,"1,838",153,Double Room,Barcelona,Spain
We Boutique Hotel Barcelona,Wonderful,9.2,496,182,Double Room,Barcelona,Spain
Wilson Boutique Hotel,Very Good,8.5,"1,732",,Double or Twin Room,Barcelona,Spain
Yurbban Passage Hotel & Spa,Wonderful,9.2,"1,297",237,Interior Double or Twin Room,Barcelona,Spain
Yurbban Ramblas Boutique Hotel,Wonderful,9.4,"1,414",170,Standard Double Room,Barcelona,Spain
1er Etage Opéra,Excellent,8.8,349,386,Superior Double Room,Paris,France
25hours Hotel Terminus Nord,Very Good,8.4,"3,882",,Medium,Paris,France
Acacias Etoile,Very Good,8.5,"2,059",,Classic Double Room,Paris,France
Alberte Hôtel,Wonderful,9,635,437,Double Room - Disability Access,Paris,France
Best Western Empire Elysees,Very Good,8.4,"4,713",316,Superior Queen Room,Paris,France
Grand Hôtel de L'Univers Saint-Germain,Excellent,8.8,"3,224",293,Classic Double Room,Paris,France
Grand Hotel Lafayette,Very Good,8.1,"1,585",340,Superior Double or Twin Room,Paris,France
Hidden Hotel,Excellent,8.8,883,287,Intuition Room,Paris,France
Hotel 34B - Astotel,Excellent,8.8,"2,898",,Double Room,Paris,France
Hotel Archetype Etoile,Excellent,8.6,"1,165",275,Double Room,Paris,France
Hotel Astoria - Astotel,Very Good,8.4,"1,740",,Standard Double Room,Paris,France
Hôtel Chateaubriand,Very Good,8,470,501,Classic Double Room,Paris,France
Hôtel de France Gare de Lyon Bastille,Excellent,8.6,"4,245",296,Comfort Double Room,Paris,France
Hôtel Du Midi Paris Montparnasse,Very Good,8.3,"2,507",214,Standard Double Room,Paris,France
Hôtel du Ministère,Very Good,8.4,"1,313",359,Superior Double Room,Paris,France
Hôtel du Parc Montparnasse,Very Good,8.1,"1,244",,Standard Twin Room,Paris,France
Hôtel du Plat d'Etain,Excellent,8.7,"3,776",226,Double Room,Paris,France
Hôtel du Temps Paris,Very Good,8.1,761,286,Standard Double Room,Paris,France
Hotel Duminy-Vendome,Excellent,8.8,"1,452",511,Comfort Double Room,Paris,France
Hotel Duret Paris Champs Elysées,Very Good,8.4,400,322,Classic Double Room,Paris,France
Hôtel Eiffel Turenne,Excellent,8.8,"1,293",,Classic Room,Paris,France
Hotel Elysees 8,Very Good,8.5,884,367,Classic Room,Paris,France
Hôtel Gabbie,Excellent,8.9,274,,Double Room,Paris,France
Hotel George Sand Opéra Paris,Very Good,8.4,"1,265",320,Double Room,Paris,France
Hôtel Hor Europe,Excellent,8.7,"3,881",272,Classic Double Room,Paris,France
Hôtel L'Ormaie & Spa,Wonderful,9.3,176,566,Superior Double Room,Paris,France
Hotel Le Clery,Good,7.9,"1,248",,Deluxe Room,Paris,France
Hotel Le Mareuil,Wonderful,9.1,873,,Standard Double Room,Paris,France
Hôtel Le Milie Rose,Wonderful,9,"1,974",315,Double Room,Paris,France
Hotel Locomo - Gare de Lyon Bastille,Excellent,8.8,"4,966",310,Large Double or Twin Room,Paris,France
Hotel Monsieur & Spa,Very Good,8.5,"1,028",262,Superior Double Room with with Private Hammam Access,Paris,France
Hotel Opéra d'Antin,Good,7.9,"1,185",243,Classic Double Room,Paris,France
Hotel Peyris Opera,Very Good,8,"2,968",281,Classic Double or Twin Room,Paris,France
Hotel Phileas Lazare & Spa - Opera,Wonderful,9,"1,783",302,Classic Double Room,Paris,France
Hôtel Riesner,Excellent,8.9,"1,651",282,Standard Double Room,Paris,France
Hôtel Rosalie,Excellent,8.8,"2,233",253,Standard Double Room,Paris,France
Hôtel Sainte-Beuve,Excellent,8.6,507,321,Superior Room,Paris,France
Hotel Sleeping Belle - Gare de Lyon Bastille,Excellent,8.8,"2,700",360,Economy Double Room,Paris,France
Hotel Taylor,Excellent,8.8,"3,229",,Double Duo,Paris,France
Hotel Touraine Opera,Wonderful,9,"2,190",334,Double Room,Paris,France
Hôtel Tourisme Avenue,Excellent,8.9,"1,608",284,Business Room,Paris,France
Hotel Yllen Eiffel,Wonderful,9.1,"2,285",349,Classic Twin Room,Paris,France
Jardin Saint Honoré Apartments,Wonderful,9.2,759,377,One-Bedroom Apartment - 5th Floor,Paris,France
La Villa Haussmann,Excellent,8.9,"1,447",520,Superior Double Room,Paris,France
Le 123 Sébastopol - Astotel,Wonderful,9.1,"1,546",,Standard Double Room,Paris,France
LE CLARK HOTEL,Wonderful,9.2,431,407,Standard Double or Twin Room,Paris,France
Le Madame By Sweett,Good,7.9,210,281,Standard Double Room,Paris,France
Le Monsieur By Sweett,Very Good,8.1,186,248,Double Room,Paris,France
Le Nest by Sweett,Excellent,8.8,"1,024",238,Double Room,Paris,France
Le Parisis - Paris Tour Eiffel,Wonderful,9,"3,319",378,Double or Twin Room courtyard view or street view,Paris,France
Le Pergolèse Paris Champs Elysées,Very Good,8.4,683,322,Double Room,Paris,France
Les Artistes,Excellent,8.9,"1,124",,Simone Eco Room -Without Air Conditioning,Paris,France
Lyric Hotel Paris Opera,Wonderful,9,"1,122",501,Classic Double or Twin Room,Paris,France
Maison Cassandre,Wonderful,9.2,285,285,Superior Double Room,Paris,France
Maison ELLE Paris,Excellent,8.7,768,468,Cozy Room,Paris,France
Miss Fuller,Wonderful,9.3,293,416,Standard Double Room,Paris,France
New Hotel Roblin,Excellent,8.6,"1,801",350,Standard Room,Paris,France
Numa Paris Champs-Élysées,Excellent,8.7,376,352,Standard Room,Paris,France
Pullman Paris Montparnasse,Very Good,8.3,"2,545",,Deluxe Twin Room with View,Paris,France
Quinzerie hôtel,Wonderful,9.3,"1,923",375,Double Room,Paris,France
Sonder Le Frochot,Good,7.8,735,202,Queen Room,Paris,France
Star Champs-Elysées,Very Good,8.5,"1,646",363,Classic Double Room,Paris,France
Stella Etoile,Very Good,8,"1,827",246,Classic Double,Paris,France
VILLA M,Excellent,8.8,"2,403",490,Superior Double Room,Paris,France
XO Hotel Paris,Wonderful,9,"1,117",,Classic Double Room,Paris,France
8 Kia Peng Suites KLCC by Luna,Very Good,8.5,148,51,Family Junior Suite,Kuala Lumpur,Malaysia
Agile Bukit Bintang by SOD,Exceptional,9.6,5,43,Double Room,Kuala Lumpur,Malaysia
"Agile Bukit Bintang FaceHome, TRX, Pavilion, KL",Wonderful,9.1,66,33,Queen Studio,Kuala Lumpur,Malaysia
Agile Bukit Bintang Home Stay Service,Excellent,8.7,27,29,Deluxe King Studio,Kuala Lumpur,Malaysia
Agile star residence TRX KL,Wonderful,9.1,14,40,Standard Double Room,Kuala Lumpur,Malaysia
Agile Suite Service Apartment KL,Exceptional,9.6,8,51,Superior Studio,Kuala Lumpur,Malaysia
"AnCasa Hotel Kuala Lumpur, Chinatown",Good,7.9,"2,149",61,Superior Queen Room,Kuala Lumpur,Malaysia
Ascott Kuala Lumpur,Very Good,8.1,"1,242",115,Premier Studio,Kuala Lumpur,Malaysia
Ascott Sentral Kuala Lumpur,Excellent,8.8,651,68,Studio Premier,Kuala Lumpur,Malaysia
Ascott Star KLCC,Wonderful,9,"3,648",148,Studio Executive,Kuala Lumpur,Malaysia
Atelier Bukit Bintang,Excellent,8.6,334,129,Superior Suite,Kuala Lumpur,Malaysia
AXQUISITE SUITES at KLCC,Wonderful,9,359,101,One-Bedroom Apartment,Kuala Lumpur,Malaysia
Banyan Signatures Pavilion Kuala Lumpur,Very Good,8.2,501,91,Deluxe Twin Room,Kuala Lumpur,Malaysia
BBHomes at Casa Residency KL,Good,7.9,260,21,Deluxe Studio,Kuala Lumpur,Malaysia
Bintang Collectionz Hotel,Very Good,8.3,432,52,Standard Twin Room (No Window),Kuala Lumpur,Malaysia
Chill Suites Kuala Lumpur,Good,7.9,206,24,Queen Room,Kuala Lumpur,Malaysia
City Apartment At Agile Residence KL,Exceptional,9.9,7,32,Executive Suite,Kuala Lumpur,Malaysia
Classic Malay House in KL City Centre,Excellent,8.7,56,71,Family Room with Bathroom - Ground Floor,Kuala Lumpur,Malaysia
Colony suites klcc by Hibernate,Excellent,8.9,48,31,One-Bedroom Apartment,Kuala Lumpur,Malaysia
Comfort Suites Quill Residence By Tasu Homes,Wonderful,9.2,30,37,One-Bedroom Apartment,Kuala Lumpur,Malaysia
Crowne Plaza Kuala Lumpur City Centre by IHG,Excellent,8.8,521,,Standard King Room,Kuala Lumpur,Malaysia
Crystal Suite at Dorsett Infinity Pool KL,Very Good,8.4,7,87,One-Bedroom Apartment,Kuala Lumpur,Malaysia
Dolphin The Eaton KLCC Kuala Lumpur,Good,7.4,573,58,Two-Bedroom Suite,Kuala Lumpur,Malaysia
Dorsett Hartamas Kuala Lumpur,Very Good,8,"3,798",46,Superior Room (No windows),Kuala Lumpur,Malaysia
Dorsett Kuala Lumpur,Good,7.7,"3,903",71,Dorsett Room,Kuala Lumpur,Malaysia
DoubleTree By Hilton Kuala Lumpur,Excellent,8.6,"4,604",,King Room,Kuala Lumpur,Malaysia
Dua Sentral Signature Suites,Good,7.3,279,21,Queen Studio,Kuala Lumpur,Malaysia
Eaton Residences KLCC by Plush,Very Good,8.2,511,54,Two-Bedroom Apartment,Kuala Lumpur,Malaysia
Ekocheras @ Kuala Lumpur,Good,7.7,204,34,Duplex Apartment,Kuala Lumpur,Malaysia
EkoCheras by MOKA at CHERAS,Good,7.4,105,32,Duplex Apartment,Kuala Lumpur,Malaysia
Grand Hyatt Kuala Lumpur,Wonderful,9,"3,012",,King Room,Kuala Lumpur,Malaysia
Hilton Kuala Lumpur,Excellent,8.7,"2,816",,Deluxe Twin Room,Kuala Lumpur,Malaysia
Hotel Indigo Kuala Lumpur on the Park by IHG,Excellent,8.9,560,,Standard King Room,Kuala Lumpur,Malaysia
Hotel Komune Living & Wellness Kuala Lumpur,Very Good,8.4,"1,428",34,Studio Twin,Kuala Lumpur,Malaysia
Hotel Maya Kuala Lumpur City Centre,Good,7.3,"2,239",61,Deluxe Room,Kuala Lumpur,Malaysia
Hotel Royal Signature,Very Good,8.5,"1,020",61,Superior Room Only,Kuala Lumpur,Malaysia
